CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
738195708,Existing Customer,47,M,2,Graduate,Divorced,$80K - $120K,Blue,40,6,1,3,16741.0,1225,15516.0,0.641,3608,56,0.514,0.073,9.2637e-05,0.99991
773306658,Existing Customer,54,M,1,Unknown,Single,$60K - $80K,Blue,48,4,5,4,4752.0,1230,3522.0,0.883,15678,103,0.717,0.259,0.00059459,0.99941
720211533,Existing Customer,41,F,4,Uneducated,Married,Less than $40K,Blue,33,5,2,3,2888.0,821,2067.0,0.931,4713,77,1.026,0.284,0.00020643,0.99979
772813458,Existing Customer,48,F,3,Graduate,Married,Unknown,Blue,39,3,1,2,6130.0,1741,4389.0,0.578,4264,63,0.658,0.284,5.7151e-05,0.99994
711831558,Existing Customer,49,M,4,College,Divorced,$120K +,Blue,41,3,1,1,7184.0,1207,5977.0,0.657,3244,58,1.0,0.168,3.3866e-05,0.99997
766706358,Existing Customer,39,F,2,Unknown,Married,Less than $40K,Blue,32,6,3,0,2524.0,1395,1129.0,1.048,1800,33,0.5,0.553,7.2936e-05,0.99993
816761433,Existing Customer,36,M,2,College,Single,$80K - $120K,Blue,31,5,2,3,5821.0,764,5057.0,0.688,5291,96,0.684,0.131,0.00018612,0.99981
712611108,Attrited Customer,59,F,1,Unknown,Single,Less than $40K,Blue,53,5,6,2,7501.0,2517,4984.0,0.663,2280,49,0.531,0.336,0.99322,0.00678
752199183,Existing Customer,51,F,1,Uneducated,Married,Unknown,Blue,44,6,2,1,3553.0,0,3553.0,0.844,4923,89,0.648,0.0,6.6245e-05,0.99993
720662508,Existing Customer,39,M,1,Graduate,Married,$120K +,Blue,25,6,3,2,5764.0,1529,4235.0,1.356,1972,38,0.52,0.265,0.00016883,0.99983
717292758,Existing Customer,55,F,2,Graduate,Single,Less than $40K,Blue,47,5,3,2,6347.0,0,6347.0,0.466,1161,44,0.375,0.0,0.00017987,0.99982
801499908,Existing Customer,43,F,4,Graduate,Married,Less than $40K,Blue,37,4,3,2,4724.0,2056,2668.0,0.423,1232,31,0.55,0.435,0.00018864,0.99981
717176508,Existing Customer,43,F,3,Unknown,Single,$40K - $60K,Blue,34,5,3,4,2656.0,1166,1490.0,0.586,4171,80,0.818,0.439,0.00058851,0.99941
716393958,Existing Customer,43,M,3,High School,Single,$80K - $120K,Blue,34,4,2,0,28262.0,1483,26779.0,0.668,3855,66,0.61,0.052,4.2354e-05,0.99996
794340033,Existing Customer,34,F,3,Uneducated,Married,$40K - $60K,Blue,28,5,1,3,2799.0,1762,1037.0,0.986,1817,39,0.56,0.63,9.8837e-05,0.9999
815353083,Attrited Customer,44,M,1,College,Divorced,$80K - $120K,Silver,39,2,3,2,34516.0,2361,32155.0,0.529,1853,36,0.385,0.068,0.9933,0.0067
761544333,Existing Customer,37,F,4,College,Married,$40K - $60K,Blue,30,4,4,3,3417.0,2517,900.0,0.992,1641,32,0.882,0.737,0.00037275,0.99963
712948383,Existing Customer,48,M,4,Graduate,Married,$60K - $80K,Gold,36,1,6,1,34516.0,0,34516.0,0.72,7396,100,0.562,0.0,0.00010347,0.9999
788907033,Existing Customer,40,M,2,High School,Unknown,$80K - $120K,Blue,26,1,3,1,5238.0,2077,3161.0,0.656,7321,73,0.659,0.397,0.00010545,0.99989
714225333,Existing Customer,48,F,4,Graduate,Married,Less than $40K,Blue,36,5,1,1,2930.0,773,2157.0,0.661,1545,21,0.909,0.264,3.4833e-05,0.99997
714678408,Existing Customer,48,F,4,Post-Graduate,Married,Less than $40K,Blue,31,6,6,4,2646.0,1983,663.0,0.7,4727,83,0.804,0.749,0.00050267,0.9995
720338658,Existing Customer,56,F,3,Post-Graduate,Single,Less than $40K,Blue,42,3,2,2,2490.0,1623,867.0,0.79,2998,60,0.622,0.652,0.00013897,0.99986
716358033,Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,43,6,3,4,6189.0,0,6189.0,0.538,5004,65,0.806,0.0,0.00048435,0.99952
709578258,Existing Customer,40,F,3,Uneducated,Single,Less than $40K,Blue,33,4,3,2,3804.0,1917,1887.0,0.744,14321,102,0.759,0.504,0.00019191,0.99981
769200858,Existing Customer,34,F,4,Graduate,Single,Less than $40K,Blue,28,3,2,3,1438.3,0,1438.3,0.726,4626,86,0.792,0.0,0.00020077,0.9998
789684258,Attrited Customer,57,M,2,Post-Graduate,Single,$80K - $120K,Silver,43,2,3,3,34516.0,1847,32669.0,0.557,7842,61,0.794,0.054,0.9969,0.00309859
720941433,Attrited Customer,53,F,3,High School,Married,Less than $40K,Blue,41,3,3,2,1547.0,0,1547.0,0.845,2312,43,0.303,0.0,0.99452,0.00548
798972183,Attrited Customer,49,F,2,Unknown,Single,$40K - $60K,Blue,43,1,3,2,1643.0,526,1117.0,0.829,2520,38,0.583,0.32,0.99497,0.00503
719013108,Existing Customer,42,M,3,Graduate,Divorced,$40K - $60K,Blue,33,4,2,4,3178.0,1800,1378.0,0.89,4605,86,0.623,0.566,0.00033886,0.99966
718208358,Existing Customer,43,M,5,Uneducated,Married,$120K +,Blue,31,4,3,4,34516.0,830,33686.0,0.54,3789,57,0.541,0.024,0.00054773,0.99945
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.00028395,0.99972
710027508,Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,2,0,1616.0,1047,569.0,0.984,1389,33,1.2,0.648,3.6029e-05,0.99996
758211483,Existing Customer,45,M,5,Unknown,Married,$60K - $80K,Blue,38,1,2,3,6895.0,2314,4581.0,0.84,8778,85,0.604,0.336,0.00021724,0.99978
718572408,Existing Customer,45,F,5,Post-Graduate,Unknown,Less than $40K,Blue,36,5,2,3,2658.0,694,1964.0,0.722,4774,92,0.769,0.261,0.00023255,0.99977
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.00015398,0.99985
709769283,Existing Customer,36,F,4,Unknown,Divorced,Unknown,Blue,16,6,3,3,8513.0,0,8513.0,0.631,4162,70,1.0,0.0,0.00034872,0.99965
720154533,Existing Customer,53,F,4,Graduate,Unknown,Less than $40K,Blue,39,2,3,2,2415.0,1643,772.0,0.964,5063,78,0.733,0.68,0.00018864,0.99981
712582983,Attrited Customer,47,F,3,Graduate,Married,Less than $40K,Silver,36,4,3,1,14057.0,1381,12676.0,1.039,4729,54,0.742,0.098,0.99026,0.00974
708654933,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Platinum,42,3,2,3,15987.0,193,15794.0,0.435,2021,46,0.394,0.012,0.99793,0.00207303
